Agent,NAMELSAD,new_agent,territory_type,zscore_type
Albemarle,Albemarle County,0,one,aggregate
Albemarle,Charlottesville City,0,one,aggregate
Albemarle,Fluvanna County,0,one,aggregate
Albemarle,Nelson County,0,one,aggregate
Albemarle,Waynesboro City,0,one,aggregate
Amelia,Amelia County,0,one,aggregate
Amelia,Cumberland County,0,one,aggregate
Amelia,Nottoway County,0,one,aggregate
Amelia,Prince Edward County,0,one,aggregate
Amherst,Amherst County,0,one,aggregate
Amherst,Buckingham County,0,one,aggregate
Arlington,Alexandria City,0,one,aggregate
Arlington,Arlington County,0,one,aggregate
Bedford,Bedford County,0,one,aggregate
Chesapeake City,Chesapeake City,0,one,aggregate
Chesapeake City,Portsmouth City,0,one,aggregate
Chesapeake City,Suffolk City,0,one,aggregate
Fairfax,Fairfax City,0,one,aggregate
Fairfax,Fairfax County,0,one,aggregate
Fairfax,Falls Church City,0,one,aggregate
Fairfax,Manassas City,0,one,aggregate
Fairfax,Manassas Park City,0,one,aggregate
Fairfax,Prince William County,0,one,aggregate
Floyd,Floyd County,0,one,aggregate
Floyd,Montgomery County,0,one,aggregate
Franklin,Franklin County,0,one,aggregate
Gloucester,Gloucester County,0,one,aggregate
Gloucester,King And Queen County,0,one,aggregate
Gloucester,Mathews County,0,one,aggregate
Gloucester,Middlesex County,0,one,aggregate
Greensville,Emporia City,0,one,aggregate
Greensville,Franklin City,0,one,aggregate
Greensville,Greensville County,0,one,aggregate
Greensville,Southampton County,0,one,aggregate
Greensville,Sussex County,0,one,aggregate
Henrico,Hanover County,0,one,aggregate
King George,Caroline County,0,one,aggregate
King George,Essex County,0,one,aggregate
King George,King George County,0,one,aggregate
King George,Westmoreland County,0,one,aggregate
Lancaster,Lancaster County,0,one,aggregate
Lancaster,Northumberland County,0,one,aggregate
Lancaster,Richmond County,0,one,aggregate
Lee,Lee County,0,one,aggregate
Lee,Norton City,0,one,aggregate
Lee,Scott County,0,one,aggregate
Lee,Wise County,0,one,aggregate
Loudoun,Loudoun County,0,one,aggregate
Louisa,Louisa County,0,one,aggregate
Lynchburg City,Appomattox County,0,one,aggregate
Lynchburg City,Campbell County,0,one,aggregate
Lynchburg City,Lynchburg City,0,one,aggregate
